Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
William Saliba,fr FRA,DF,22.0,38.0,2,10,3,30.0,0.26,0.08,0.2,0.67,10.5,0,0,0,1.6,1.6,0.16,0.4,0.4
Declan Rice,eng ENG,MF,24.0,35.8,7,58,20,34.5,1.62,0.56,0.12,0.35,20.4,2,0,0,3.3,3.3,0.06,3.7,3.7
Martin Ødegaard,no NOR,MF,24.0,34.3,8,75,21,28.0,2.18,0.61,0.08,0.29,20.2,4,2,2,7.4,5.8,0.08,0.6,0.2
Ben White,eng ENG,DF,25.0,33.2,4,13,6,46.2,0.39,0.18,0.31,0.67,13.2,0,0,0,1.2,1.2,0.09,2.8,2.8
Bukayo Saka,eng ENG,FW,21.0,32.4,16,102,31,30.4,3.14,0.96,0.1,0.32,16.3,0,6,6,15.5,10.8,0.11,0.5,-0.8
Gabriel Magalhães,br BRA,DF,25.0,33.8,4,31,10,32.3,0.92,0.3,0.13,0.4,7.9,0,0,0,4.3,4.3,0.14,-0.3,-0.3
David Raya,es ESP,GK,27.0,32.0,0,0,0,28.78421052631579,0.0,0.0,0.1036842105263158,0.34,16.25263157894737,0,0,0,0.0,0.0,0.09947368421052634,0.0,0.0
Kai Havertz,de GER,"MF,FW",24.0,29.3,13,68,27,39.7,2.32,0.92,0.18,0.44,12.4,0,1,1,12.3,11.6,0.17,0.7,0.4
Gabriel Martinelli,br BRA,FW,22.0,22.4,6,58,20,34.5,2.59,0.89,0.1,0.3,15.6,0,0,0,6.8,6.8,0.12,-0.8,-0.8
Oleksandr Zinchenko,ua UKR,DF,26.0,19.1,1,17,3,17.6,0.89,0.16,0.06,0.33,24.0,0,0,0,0.6,0.6,0.03,0.4,0.4
Leandro Trossard,be BEL,"FW,MF",28.0,18.3,12,60,22,36.7,3.27,1.2,0.2,0.55,16.1,0,0,0,7.9,7.9,0.13,4.1,4.1
Gabriel Jesus,br BRA,FW,26.0,16.4,4,55,19,34.5,3.35,1.16,0.07,0.21,12.2,0,0,0,6.3,6.3,0.12,-2.3,-2.3
Jakub Kiwior,pl POL,DF,23.0,10.5,1,6,2,33.3,0.57,0.19,0.17,0.5,13.8,0,0,0,0.8,0.8,0.14,0.2,0.2
Takehiro Tomiyasu,jp JPN,DF,24.0,12.8,2,17,3,17.6,1.33,0.23,0.12,0.67,14.9,0,0,0,1.5,1.5,0.09,0.5,0.5
Eddie Nketiah,eng ENG,FW,24.0,12.0,5,38,12,31.6,3.16,1.0,0.13,0.42,12.7,0,0,0,4.5,4.5,0.12,0.5,0.5
Jorginho,it ITA,MF,31.0,10.2,0,4,0,0.0,0.39,0.0,0.0,0.34,24.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Thomas Partey,gh GHA,"MF,DF",30.0,8.8,0,8,2,25.0,0.91,0.23,0.0,0.0,20.7,0,0,0,0.4,0.4,0.05,-0.4,-0.4
Aaron Ramsdale,eng ENG,GK,25.0,6.0,0,0,0,28.78421052631579,0.0,0.0,0.1036842105263158,0.34,16.25263157894737,0,0,0,0.0,0.0,0.09947368421052634,0.0,0.0
Emile Smith Rowe,eng ENG,MF,23.0,3.9,0,15,5,33.3,3.82,1.27,0.0,0.0,15.6,0,0,0,2.0,2.0,0.13,-2.0,-2.0
Fabio Vieira,pt POR,"MF,FW",23.0,3.3,1,6,1,16.7,1.82,0.3,0.0,0.0,18.0,0,1,1,1.3,0.5,0.08,-0.3,-0.5
Reiss Nelson,eng ENG,FW,23.0,3.0,0,4,1,25.0,1.34,0.34,0.0,0.0,19.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2
